"code";"name";"avg_salary"
"100700";"opoczynski";4343
"100800";"pabianicki";4675
"100900";"pajeczanski";4573
"101000";"piotrkowski";4255
"101100";"poddebicki";5688
"101200";"radomszczanski";4368
"101300";"rawski";4509
"101400";"sieradzki";4741
"101500";"skierniewicki";4451
"101600";"tomaszowski";4473
"101700";"wielunski";4342
"101800";"wieruszowski";4165
"101900";"zdunskowolski";4382
"102000";"zgierski";5081
"102100";"brzezinski";4113
"106100";"lodz";5510
"106200";"piotrkowtrybunalski";4422
"106300";"skierniewice";4691
"120000";"malopolskie";5536
"120100";"bochenski";4523
"120200";"brzeski";4244
"120300";"chrzanowski";4912
"120400";"dabrowski";4425
"120500";"gorlicki";4158
"120600";"krakowski";5788
"120700";"limanowski";4163
"120800";"miechowski";4415
"120900";"myslenicki";4525
"121000";"nowosadecki";4160
"121100";"nowotarski";4335
"121200";"olkuski";4920
"121300";"oswiecimski";4911
"121400";"proszowicki";4635
"121500";"suski";4482
"121600";"tarnowski";4149
"121700";"tatrzanski";4655
"121800";"wadowicki";4457
"121900";"wielicki";5047
"126100";"krakow";6482
"126200";"nowysacz";4468
"126300";"tarnow";5629
"140000";"mazowieckie";6581
"140100";"bialobrzeski";4410
"140200";"ciechanowski";4967
"140300";"garwolinski";4708
"140400";"gostyninski";4637
"140500";"grodziski";5761
"140600";"grojecki";5088
"140700";"kozienicki";5467
"140800";"legionowski";5059
"140900";"lipski";4564
"141000";"losicki";4486
"141100";"makowski";4461
"141200";"minski";4717
"141300";"mlawski";4636
"141400";"nowodworski";6096
"141500";"ostrolecki";4564
"141600";"ostrowski";4650
"141700";"otwocki";5281
"141800";"piaseczynski";5164
"141900";"plocki";4631
"142000";"plonski";4826
"142100";"pruszkowski";6295
"142200";"przasnyski";4638
"142300";"przysuski";4653
"142400";"pultuski";4644
"142500";"radomski";4362
"142600";"siedlecki";4503
"142700";"sierpecki";4613
"142800";"sochaczewski";5741
"142900";"sokolowski";4792
"143000";"szydlowiecki";4157
"143200";"warszawskizachodni";5990
"143300";"wegrowski";4589
"143400";"wolominski";4997
"143500";"wyszkowski";4404
"143600";"zwolenski";4508
"143700";"zurominski";4384
"143800";"zyrardowski";5113
"146100";"ostroleka";5712
"146200";"plock";6526
"146300";"radom";5033
"146400";"siedlce";5187
"146500";"st.warszawa";7147
"160000";"opolskie";5078
"160100";"brzeski";4825
"160200";"glubczycki";4703
"160300";"kedzierzynsko-kozielski";5572
"160400";"kluczborski";4777
"160500";"krapkowicki";5548
"160600";"namyslowski";4807
"160700";"nyski";4637
"160800";"oleski";4479
"160900";"opolski";4720
"161000";"prudnicki";4446
"161100";"strzelecki";4854
"166100";"opole";5523
"180000";"podkarpackie";4707
"180100";"bieszczadzki";4445
"180200";"brzozowski";4206
"180300";"debicki";4631
"180400";"jaroslawski";4541
"180500";"jasielski";4560
"180600";"kolbuszowski";4220
"180700";"krosnienski";4050
"180800";"lezajski";4435
"180900";"lubaczowski";4214
"181000";"lancucki";4327
"181100";"mielecki";4729
"181200";"nizanski";4197
"181300";"przemyski";4126
"181400";"przeworski";4255
"181500";"ropczycko-sedziszowski";4401
"181600";"rzeszowski";4614
"181700";"sanocki";4431
"181800";"stalowowolski";4777
"181900";"strzyzowski";4052
"182000";"tarnobrzeski";4723
"182100";"leski";4832
"186100";"krosno";4424
"186200";"przemysl";4522
"186300";"rzeszow";5518
"186400";"tarnobrzeg";4578
